Name1,Name2
Daniel Albietz,Daniel Albietz
Catherine Alioth,Catherine Alioth
Nicole Amacher,Nicole Amacher
Lorenz Amiet,Lorenz Amiet
Mustafa Atici,Mustafa Atici
André Auderset,André Auderset
Olivier Battaglia,Olivier Battaglia
Beda Baumgartner,Beda Baumgartner
Claudia Baumgartner,Claudia Baumgartner
Sibylle Benz,Sibylle Benz
Martina Bernasconi,Martina Bernasconi
Salome Bessenich,Salome Bessenich
François Bocherens,François Bocherens
Peter Bochsler,Peter Bochsler
Oliver Bolliger,Oliver Bolliger
Sandra Bothe-Wenk,Sandra Bothe-Wenk
Jessica Brandenburger,Jessica Brandenburger
Beat Braun-Gallacchi,Beat Braun-Gallacchi
René Brigger,René Brigger
Erich Bucher,Erich Bucher
Talha Ugur Camlibel,Talha Camlibel
Katja Christ,Katja Christ
Tobias Christ,Tobias Christ
Tim Cuénod,Tim Cuénod
Alexandra Dill,Alexandra Dill
Melanie Eberhard,Melanie Eberhard
Alex Ebi,Alex Ebi
Mark Eichner,Mark Eichner
Seyit Erdogan,Seyit Erdogan
Felix W. Eymann,Felix Eymann
Lukas Faesch,Lukas Faesch
Harald Friedl,Harald Friedl
Raphael Fuhrer,Raphael Fuhrer
Raoul I. Furlano,Raoul Furlano
Remo Gallacchi,Remo Gallacchi
Thomas Gander,Thomas Gander
Edibe Gölgeli,Edibe Gölgeli
Beatriz Greuter,Beatriz Greuter
Christian Griss,Christian Griss
Alexander Olivier Gröflin,Alexander Gröflin
Thomas Grossenbacher,Thomas Grossenbacher
Brigitte Gysin,Brigitte Gysin
Gianna Hablützel-Bürki,Gianna Hablützel-Bürki
René Häfliger,René Häfliger
Patrick Hafner,Patrick Hafner
Christophe Haller,Christophe Haller
Raffaela Hanauer,Raffaela Hanauer
Barbara Heer,Barbara Heer
Balz Herter,Balz Herter
Daniel Hettich,Daniel Hettich
Christoph Hochuli,Christoph Hochuli
Salome Hofer,Salome Hofer
Laurin Hoppler,Laurin Hoppler
Michael Hug,Michael Hug
Oswald Inglin,Oswald Inglin
Lydia Isler-Christ,Lydia Isler-Christ
Beatrice Isler,Beatrice Isler
David Jenny,David Jenny
Mahir Kabakci,Mahir Kabakci
Danielle Kaufmann,Danielle Kaufmann
Esther Keller,Esther Keller
Andrea Elisabeth Knellwolf,Andrea Knellwolf
Michael Koechlin,Michael Koechlin
Sebastian Kölliker,Sebastian Kölliker
Toya Krummenacher,Toya Krummenacher
Brigitte Kühne,Brigitte Kühne
Michelle Lachenmeier,Michelle Lachenmeier
Franz-Xaver Leonhardt,Franz-Xaver Leonhardt
Beat Leuthardt,Beat Leuthardt
Roland Lindner,Roland Lindner
Stephan Luethi-Brüderlin,Stephan Luethi-Brüderlin
Lisa Mathys,Lisa Mathys
Georg Mattmüller,Georg Mattmüller
Sasha Mazzotti,Sasha Mazzotti
Christian Meidinger,Christian Meidinger
Beatrice Messerli,Beatrice Messerli
Pascal Messerli,Pascal Messerli
Ursula Metzger,Ursula Metzger
Jürg Meyer,Jürg Meyer
Claudio Miozzari,Claudio Miozzari
Christian C. Moesch,Christian Moesch
Heidi Mück,Heidi Mück
Stephan Mumenthaler,Stephan Mumenthaler
Thomas Müry,Thomas Müry
Melanie Nussbaumer,Melanie Nussbaumer
Bülent Pekerman,Bülent Pekerman
Jean-Luc Perret,Jean-Luc Perret
Pascal Pfister,Pascal Pfister
Franziska Roth,Franziska Roth
Eduard Rutschmann,Eduard Rutschmann
Daniel Sägesser,Daniel Sägesser
Karin Sartorius-Brüschweiler,Karin Sartorius-Brüschweiler
Beat K. Schaller,Beat Schaller
Stephan Schiesser,Stephan Schiesser
Jenny Schweizer,Jenny Schweizer
Michela Seggiani,Michela Seggiani
Johannes Sieber,Johannes Sieber
Mehmet Sigirci,Mehmet Sigirci
Tanja Soland,Tanja Soland
Daniel Spirgi,Daniel Spirgi
Roger Stalder,Roger Stalder
Lea Steinle,Lea Steinle
Jeremy Stephenson,Jeremy Stephenson
Jürg Stöcklin,Jürg Stöcklin
Nicole Strahm-Lavanchy,Nicole Strahm-Lavanchy
Andrea Strahm,Andrea Strahm
Daniela Stumpf,Daniela Stumpf
Stefan Suter,Stefan Suter
Kaspar Sutter,Kaspar Sutter
Jérôme Thiriet,Jérôme Thiriet
Oliver Thommen,Oliver Thommen
Joël Thüring,Joël Thüring
David Trachsel,David Trachsel
Heinrich Ueberwasser,Heinrich Ueberwasser
Andreas Ungricht,Andreas Ungricht
Luca Urgese,Luca Urgese
Jo Vergeat,Jo Vergeat
Heiner Vischer,Heiner Vischer
Jörg Vitelli,Jörg Vitelli
Annina von Falkenstein,Falkenstein von
Patricia von Falkenstein,Falkenstein von
Christian von Wartburg,Wartburg von
Aeneas Wanner,Aeneas Wanner
Eric Weber,Eric Weber
Barbara Wegmann,Barbara Wegmann
Felix Wehrli,Felix Wehrli
Fleur Weibel,Fleur Weibel
Kerstin Wenk,Kerstin Wenk
Thomas Widmer-Huber,Thomas Widmer-Huber
Lea Wirz,Lea Wirz
Stefan Wittlin,Stefan Wittlin
David Wüest-Rudin,David Wüest-Rudin
Sarah Wyss,Sarah Wyss
Semseddin Yilmaz,Semseddin Yilmaz
Andreas Zappalà,Andreas Zappalà
Tonja Zürcher,Tonja Zürcher